c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11
7.373304706905091654e-01,2.700453707863236241e-01,4.772746130548773946e-01,4.975884989111049594e-01,5.378124967222027708e-01,4.649022279640695476e-01,5.189048330659103980e-01,2.121986937066554502e-01,5.625168798410417059e-01,7.498674080124495545e-01,0
7.604959801051098811e-01,1.737584453145403496e-01,5.585366076531678159e-01,4.557242952132666836e-01,5.353981870562585232e-01,4.822880313833463606e-01,4.167107980421265179e-01,2.712218153153150846e-01,4.603060786878114263e-01,8.562603371739734293e-01,0
6.171056604094539155e-01,1.073404541523667322e-01,5.004448093850739632e-01,5.807747076425974209e-01,4.830941361037917603e-01,6.254857515953913261e-01,4.070029932087432245e-01,9.411994669528628288e-02,3.210901120131602893e-01,7.676375189187570891e-01,0
7.131680404729024980e-01,8.149857675916896138e-01,5.030953650832290514e-01,5.259243503339489090e-01,8.132713680709963144e-01,2.548803567518336255e-01,2.333190305419868549e-01,7.319330075911855138e-01,7.582612874243107592e-01,7.412051810498444526e-01,1
7.513082929727072923e-01,2.697293558235088762e-01,5.068730531838420150e-01,4.998691256048967690e-01,4.804222092904438801e-01,4.434454697209166962e-01,4.957674451428815687e-01,1.989134568815694726e-01,5.005973097875787703e-01,7.469395771999549627e-01,0
7.864620216926767604e-01,7.751694183306623298e-01,4.874312633318885202e-01,4.885492730421156504e-01,7.570780770352563138e-01,2.749396939678763752e-01,2.605650302158045717e-01,7.453085698872821130e-01,7.353718567073159740e-01,7.390206155394419829e-01,1
6.838668962365956894e-01,2.347828013373477463e-01,4.695149509782297059e-01,4.364753090156279769e-01,4.672786090747371168e-01,4.358674072782841580e-01,5.827372910341621637e-01,2.459754843882731579e-01,3.791708552287427203e-01,8.059622499040768329e-01,0
7.016057280304556221e-01,3.284798611357204190e-01,5.202677300721649800e-01,4.128734960372841822e-01,4.975373111975890383e-01,3.999186722126170657e-01,4.883530806122300949e-01,2.609212322196848288e-01,5.472774941002352955e-01,7.616307285153268714e-01,0
7.524607505209767178e-01,7.516142288137892535e-01,4.857790823060567087e-01,4.756494268162796968e-01,7.506156369336232093e-01,2.684347319469479465e-01,2.645765598618141090e-01,7.625257892324173170e-01,7.542027871962510011e-01,7.301791292618192708e-01,1
8.614309849375006989e-01,4.299897058625054558e-01,4.812317367314970507e-01,5.421345433156620208e-01,5.178225066845937308e-01,4.500939300054710435e-01,5.104037388275476372e-01,2.732522448904919354e-01,4.696930400350257107e-01,7.975195380130160050e-01,0
8.192843556080828815e-01,2.868485848480676337e-01,4.578621160361758258e-01,5.513411816365489937e-01,5.458987778922756995e-01,5.125991418172918257e-01,5.035589365246944116e-01,2.320343108502920249e-01,5.275798692565554227e-01,7.379150892843764353e-01,0
7.216115187500118378e-01,8.507304292381636657e-01,4.891607910306655094e-01,4.609890685272435285e-01,7.534031346521935513e-01,2.652520574438815282e-01,2.166493611746414527e-01,7.574833075241863556e-01,7.658522938160104987e-01,7.854916245060877822e-01,1
7.500145390274666202e-01,7.464799755747723031e-01,4.907938753820895172e-01,4.996445701068385481e-01,7.495727747481580883e-01,2.737496484170931499e-01,2.520940417903029251e-01,7.599131798127148896e-01,7.415202794696467148e-01,7.479025507484756696e-01,1
6.843131022633419658e-01,1.702425442381467757e-01,5.538411851383533424e-01,5.808484097786688061e-01,3.892918858113079694e-01,4.199743462287356399e-01,4.502152804771885064e-01,2.208728671881493855e-01,5.140181798412188918e-01,7.353220635282821105e-01,0
8.036435378452034817e-01,5.980292271090050793e-01,3.898947076678320744e-01,5.187792006564211356e-01,8.186594756399752093e-01,2.623713476878470896e-01,2.944976311635071897e-01,7.412144244646803326e-01,7.222032423980567772e-01,7.169472019161877707e-01,1
2.635817980304130392e-01,2.611428808518768130e-01,2.411580816832768204e-01,4.933798560079665219e-01,7.350671942559560135e-01,7.423337656058400791e-01,7.401453492303483594e-01,5.242042441234203709e-01,4.710829925185147649e-01,7.733816833917653843e-01,2
9.640495680981520099e-01,1.015357344173757559e+00,5.435175324061943813e-01,5.200124300391788523e-01,8.957865937841877901e-01,1.025318509500339481e-01,3.816235781635309854e-01,6.237574320566421360e-01,5.827004353357569943e-01,8.088312869385405612e-01,1
7.307269393993345297e-01,2.831143017893714142e-01,4.615022131782258175e-01,4.535483227708455023e-01,5.363626532249418100e-01,5.628393590747182706e-01,5.086307130780477470e-01,1.588843143049306073e-01,4.491862174747247027e-01,7.115969780964506164e-01,0
8.463224032511020845e-01,7.239549889162288920e-01,4.753434597361164693e-01,5.458285121171244647e-01,6.686894879107816436e-01,1.838947815724818191e-01,2.037513867479937846e-01,7.958941575811051550e-01,6.759677443149795240e-01,7.949372618783839828e-01,1
7.085074231812523715e-01,2.989041458207042368e-01,4.433027764964785344e-01,7.137471587704550258e-01,5.167591216324312065e-01,4.687152885817476022e-01,4.688400513412694925e-01,1.603250947640406376e-01,3.775729611615340486e-01,7.252774886353540174e-01,0
7.441770664830718029e-01,6.156956044298855790e-01,4.969659167386880627e-01,5.770876873398288476e-01,8.133337704580522187e-01,2.051698460490452292e-01,2.203355424328256595e-01,7.439150396881987204e-01,6.870670624305061924e-01,7.787954389132388799e-01,1
2.246495234973640565e-01,2.346956460590996774e-01,2.513452598720000708e-01,5.095638003965899943e-01,7.735759206071053384e-01,7.769330800712377361e-01,7.281690236386024750e-01,5.064794221073372071e-01,4.722348218415481358e-01,7.510343460551622830e-01,2
6.617932453285444439e-01,2.925099969362425223e-01,4.573201388413252189e-01,4.457389270633826395e-01,5.174020062334466763e-01,4.935819678025495372e-01,4.271147449210661584e-01,2.009113424461110298e-01,4.858924656743573989e-01,7.343746348923976264e-01,0
7.701773079838197811e-01,9.615145274111583928e-01,2.388506545776320766e-01,3.620825875141799877e-01,1.107614540998553609e+00,2.813349681479648812e-01,2.380167381102936131e-01,8.683739771402939622e-01,7.480133725976608750e-01,8.282395310978963865e-01,1
7.156287595668495705e-01,2.697573402531410203e-01,5.117931618220634693e-01,5.650960385452876711e-01,5.279166590059781727e-01,4.795991082655198245e-01,4.758859533964849842e-01,2.253005136976934664e-01,5.694419561366316218e-01,7.126705338160282954e-01,0
8.408050953907602043e-01,6.687981052912015389e-01,4.330306056268599102e-01,3.314401106659040641e-01,7.556955891392603819e-01,3.571569624788893393e-01,3.693606204137346860e-01,7.914131908197932219e-01,5.791768892015956016e-01,7.601434366869929127e-01,1
7.403623731800266228e-01,2.449016847588901535e-01,5.033626543467537573e-01,4.914518365812330369e-01,5.314251398046043739e-01,5.028362769601796289e-01,5.233842313200094409e-01,2.022173165656237781e-01,4.997032225721791399e-01,7.421883991496615041e-01,0
7.366779335328038636e-01,7.448149676446854661e-01,5.033030491459293820e-01,4.679013475517784237e-01,7.825247839037069442e-01,2.429870427501963914e-01,2.470147010346253891e-01,7.409507604643745804e-01,8.244914599057302507e-01,6.775110808872963908e-01,1
9.745622812454273198e-01,2.385351822191795756e-01,5.369093105521453024e-01,1.424113903389003233e-01,7.126528385696696555e-01,3.735219289012807753e-01,3.716907176208164021e-01,8.616835628349713838e-01,8.251360578041775362e-01,4.890458499315102903e-01,1
7.517177096637098765e-01,7.477246234162948646e-01,4.839077686334208317e-01,4.817640858218527056e-01,7.557145522556032446e-01,2.413715419460506773e-01,2.273929802202777350e-01,7.100383431973105175e-01,7.551028537179426126e-01,6.944641717618165178e-01,1
6.683668481755390411e-01,6.477876843451227939e-01,6.305785935868968295e-01,8.441005013561673209e-01,6.228449672580566032e-01,3.415829721115634654e-01,3.335427831786071939e-01,7.980749153186824651e-01,6.997575017286556953e-01,8.544327775145108550e-01,1
7.677507998016843693e-01,2.302716469778974540e-01,4.336138674989890585e-01,5.447661198144002626e-01,5.823174487025444268e-01,5.798390156355601732e-01,5.137847178858030439e-01,3.383861020117372442e-01,5.233876149794006727e-01,7.011434537391224575e-01,0
7.685048222317913957e-01,2.708018721543234975e-01,5.235991511028770251e-01,5.494280252509174955e-01,4.969709817060337098e-01,6.423406227292480786e-01,5.551513847705989990e-01,1.750213642887943899e-01,5.435257690524932794e-01,7.430782607034744913e-01,0
7.769790594943939421e-01,4.530928210577104265e-01,3.975216121939643132e-01,3.551914158288453360e-01,5.441530269308945122e-01,5.567678873401430417e-01,6.160479178243806198e-01,1.159131763315950636e-01,4.823898571195702201e-01,7.708845419132094312e-01,0
8.092617571423103007e-01,2.809689922208179480e-01,4.710172431022139339e-01,5.234873120671587055e-01,5.126627512044908963e-01,5.459116284699457866e-01,6.022147717062488192e-01,2.611896857014676665e-01,5.098474591253779886e-01,7.099169407693939338e-01,0
6.757142546775743996e-01,7.570204531316235830e-01,4.516919980171966165e-01,5.919672930545893941e-01,7.248067958618834572e-01,1.819409195654146938e-01,1.650726827577182476e-01,6.287367367678803332e-01,1.021816011365650034e+00,8.512544812437096153e-01,1
4.993605599743381473e-01,7.673735999518547235e-01,2.473616984274924213e-01,4.345029723222466611e-01,7.538441680422512947e-01,2.311031077310343462e-01,1.706066677801165721e-01,7.412409749843749118e-01,8.388582612259194438e-01,9.798573542510962131e-01,1
7.682408321480280744e-01,7.654887459752842682e-01,4.128683169088947502e-01,5.287891925688985584e-01,9.034208731446413676e-01,3.568711415507246354e-01,2.051119025698844855e-01,6.415047483674508610e-01,8.355658454903431842e-01,6.038503205121832362e-01,1
7.561291127921920818e-01,7.651449521590434344e-01,5.794543490914663142e-01,4.404126122855747116e-01,5.563053355880398509e-01,5.559163697847300245e-01,-1.771040160499032234e-02,7.708834444678388520e-01,7.572430258947354664e-01,8.788256729089900521e-01,1
7.245744871696520040e-01,8.584698518163486058e-01,5.905088305700765261e-01,3.866665042344377690e-01,8.687349273463560451e-01,2.504985003202402916e-01,1.390479559283365196e-01,7.364915344658974350e-01,7.499219698080308305e-01,8.029327375478796380e-01,1
8.271608205353063736e-01,4.183557864088673917e-01,4.743202646711588422e-01,4.325183175921005208e-01,5.033949334447516133e-01,4.378810093377635271e-01,5.685169733434463080e-01,1.713505887088455082e-01,5.219806326174097899e-01,7.758974097646447188e-01,0
6.993885466006984908e-01,2.238258988836981933e-01,4.351160409998955925e-01,4.688675624093660566e-01,3.973703336206999559e-01,5.605854808831308711e-01,4.511407548141632695e-01,1.239060195154132737e-01,3.937965997420799780e-01,7.834730900788411390e-01,0
7.830614765319975357e-01,2.620472083348855952e-01,5.739690850932674948e-01,6.187219761944494634e-01,4.420974146523991566e-01,2.960812315093969138e-01,5.413598092469975587e-01,3.248231381087447467e-01,5.275418417287645045e-01,6.302954622319326683e-01,0
6.090207217767039660e-01,3.078239163612876417e-01,5.402929034589276647e-01,4.929829665824214113e-01,4.085576735317124064e-01,4.737528463263366296e-01,4.601592363435950128e-01,2.798022158395481185e-01,6.293287540918454104e-01,8.689759164717603124e-01,0
7.490448226633009687e-01,2.581417065811686395e-01,4.602785608127123451e-01,4.658734705906007467e-01,4.728663369878353118e-01,4.552717347007377846e-01,4.627444860434432594e-01,2.447341543155966415e-01,5.498259154835326568e-01,7.203665737711009154e-01,0
7.884588888303802889e-01,7.729440077879458082e-01,5.119027769041870624e-01,4.125003495438552825e-01,8.549797330838310172e-01,3.027015310883824917e-01,2.751868688325849188e-01,6.255437797646412612e-01,6.808038970511600674e-01,6.544175060326272719e-01,1
7.200515390971787832e-01,7.579414935193237168e-01,4.552263416706089916e-01,4.972410947801949033e-01,7.538727976957202426e-01,3.567561531883983728e-01,2.996056917261491481e-01,7.204218698875904936e-01,8.349519313337087079e-01,7.407197360316655210e-01,1
4.884607176836114895e-01,7.093698538414154875e-01,5.180931214573759602e-01,4.456048351988551870e-01,8.545831978741523782e-01,7.017780658309302755e-01,4.203038637763650276e-01,5.776841281245419513e-01,6.619983972232584835e-01,6.728089249894080304e-01,1
7.519344171791335629e-01,6.206735323375245361e-01,1.540996286353349953e-01,4.911091056203197858e-01,7.877896810998951116e-01,2.951786039212182522e-01,8.424169439108026847e-01,8.122604933052046672e-01,9.478288325069226250e-01,8.248037539874748525e-01,1
6.327403884888688212e-01,7.555425015537081679e-01,3.477747984776987655e-01,4.427101684692357209e-01,9.429331174909071356e-01,2.685589980300520652e-01,4.216421679267291500e-01,7.575851076284272345e-01,7.466148598115420754e-01,7.275054292383135168e-01,1
6.597712740559511513e-01,1.006030795618635842e+00,6.028530774651168489e-01,5.843132764767711151e-01,7.258441543695882681e-01,3.201123627828831308e-01,3.236512711443241819e-01,8.042783067832836030e-01,7.193247192487430830e-01,8.449288832138589500e-01,1
8.137156477279566813e-01,6.635481282090617272e-01,6.608415864828440789e-01,6.930227818150314079e-01,8.188999784931924042e-01,1.191251395762179088e+00,9.215498298949308387e-01,1.210944551160071381e+00,1.106662896555109077e+00,1.042058716040241251e+00,-1
5.340186231918543358e-01,6.620834998564744112e-01,5.152208916017291251e-01,4.379095952942193004e-01,1.030283341195276536e+00,2.517609185043079290e-02,1.620949060482158588e-01,5.879744159361816047e-01,7.188873183544441936e-01,6.567967306741502309e-01,1
1.067961360775151913e+00,7.871643651493701599e-01,3.960129929523797943e-01,5.089838552837949726e-01,6.093043016497977638e-01,6.312731631037560298e-02,1.639796934374519455e-01,9.368261191414819500e-01,5.227688186149914706e-01,7.870827634358007474e-01,1
1.059909471445249718e+00,9.500869315651807590e-01,6.375727411638520969e-01,5.223265752681384155e-01,1.044825403617746229e+00,-5.058798922766538642e-02,2.060987160176130373e-01,1.139874430750337009e+00,7.228017734606987377e-01,7.447696066301082718e-01,1
2.235642850565806306e-01,2.653191539931127330e-01,2.404417985298632765e-01,5.064729316330423003e-01,7.326017021924078332e-01,7.512825377132995586e-01,7.729076206564884366e-01,5.166857985526041031e-01,5.056002684058551466e-01,7.751591305112003338e-01,2
7.328910251437256163e-01,3.079585836939628951e-01,4.875877025765805173e-01,4.923114564737357535e-01,5.379599990193163483e-01,4.327293784915850483e-01,5.218323665477130335e-01,2.418243636887887071e-01,5.225285572977949045e-01,7.728903253029603126e-01,0
7.786048307562835058e-01,2.821595168558092004e-01,5.050198490692902054e-01,5.050549353645191752e-01,5.414977154606348542e-01,5.311990769810901458e-01,4.970702706956451333e-01,2.278033269019432983e-01,5.388539370219602720e-01,7.201084934595920473e-01,0
7.231508479490406094e-01,2.737843702156380621e-01,4.484716833735209462e-01,5.083072545557204558e-01,5.369838862182970685e-01,4.520927783583581494e-01,4.594745485841980059e-01,2.297763683053897776e-01,5.006906111194660003e-01,7.909496317696370626e-01,0
7.429222105650981067e-01,7.510671752704289883e-01,5.057740326236902506e-01,4.908281112937913915e-01,7.507524313563592733e-01,2.598893067387106903e-01,2.483382651938535191e-01,7.548982147844911506e-01,7.666531356830059707e-01,7.357820874281403301e-01,1
6.401398992390866516e-01,6.522861014863481355e-01,5.936528002107001045e-01,4.869030798635762824e-01,8.336314267229646413e-01,3.752458246904394334e-01,1.851050288730188842e-01,6.994517883698738725e-01,5.898129732326542474e-01,6.638157624569104298e-01,1
8.214390249104905894e-01,4.405338640716716103e-01,5.060250097376344236e-01,4.278749769270702719e-01,6.280541464703977006e-01,4.886719744888145534e-01,4.682912079154674667e-01,2.273721884581573482e-01,5.012696727192584856e-01,6.986090617587666918e-01,0
7.128514435891178946e-01,7.129964888979773985e-01,5.073177617239614801e-01,5.063268348575906685e-01,7.282585446816277619e-01,2.868665917468355975e-01,2.301445370898880238e-01,7.256147554192370341e-01,7.632007007369854268e-01,7.203300649017823076e-01,1
7.494293423467652815e-01,2.647821875058865015e-01,4.868904080076213448e-01,4.939301181953329456e-01,5.133976026978155360e-01,4.966287086410882678e-01,4.967481795151942880e-01,2.342340215316310315e-01,5.112825332695354330e-01,7.412158640196260251e-01,0
7.320087574481597414e-01,7.004068517997609211e-01,5.326187095942160887e-01,4.456881423599789449e-01,7.439866034658147997e-01,4.291443440028469558e-01,2.102195657613342428e-01,8.405355654939236087e-01,7.122598574298383278e-01,8.381142904004286187e-01,1
7.898927340650520046e-01,8.008576773028308615e-01,6.167910996095073983e-01,5.276622964458572707e-01,7.502475883579802218e-01,2.357343613089513679e-01,2.364432096749257417e-01,7.573914744569736346e-01,7.771733146060654240e-01,6.839147802266111187e-01,1
7.860944838691314995e-01,2.384806768909351615e-01,3.747440381944677767e-01,4.845987556209567781e-01,4.433016643972629844e-01,4.028568810362248565e-01,4.838756528843375371e-01,2.667082512108100989e-01,5.215441427010315545e-01,8.772760543255336829e-01,0
7.320698272989657474e-01,4.449338579396998616e-01,1.302983558312966195e-01,3.876567182852999061e-01,6.170475340774067563e-01,-7.213895920187474164e-02,1.913553128582786700e-01,6.757135034932196804e-01,9.752466802060140161e-01,5.737229307718408888e-01,1
9.747095811866992587e-01,3.508765835920020226e-01,3.680024019955983605e-01,4.998104897651837741e-01,5.307655614081164819e-01,5.360915225198571443e-01,6.734603891695404299e-01,1.614270079286936332e-01,5.678828455841102851e-01,8.283648691934972774e-01,0
2.288733039475648601e-01,2.843916351647992613e-01,2.862664863289732797e-01,5.421892651954268727e-01,7.261907511847519592e-01,7.713843785472719317e-01,7.433634318524120488e-01,5.060734275273026661e-01,4.584929252550178358e-01,7.800269992659406570e-01,2
2.834118486014670091e-01,2.463111874799578660e-01,2.654103171527046334e-01,5.432183478615335570e-01,7.342437442180927976e-01,7.795722709729926425e-01,7.195826423513010939e-01,5.248874988137571806e-01,5.127331978551974423e-01,7.342688312297510622e-01,2
8.890679142094707332e-01,7.923176599135839382e-01,6.035609121266386490e-01,4.360334527916105984e-01,8.420564239960791619e-01,2.885340468231809563e-01,3.854534894728134375e-01,7.163389815740778266e-01,6.968845022450940174e-01,7.488498584774154754e-01,1
2.539671159457523308e-01,2.961793300626605063e-01,2.716546204021578204e-01,5.323592790768006955e-01,7.497805686835150585e-01,7.789232772832299645e-01,7.272803868708044295e-01,4.843411967675283480e-01,5.157204637881048770e-01,7.772781157964400167e-01,2
7.575143504360152269e-01,2.914282371412997286e-01,4.837534290455170471e-01,4.775444807222278820e-01,5.533506158169632094e-01,6.004951387994581502e-01,6.340860579641407480e-01,2.234023769531690851e-01,4.266047980403607220e-01,7.397283793774693805e-01,0
2.735248312828742479e-01,2.464793342323383096e-01,2.543931893298211344e-01,5.002812535007172823e-01,7.777759635941727812e-01,7.565331904061181056e-01,7.616582152915801762e-01,4.768446972037557741e-01,4.594563258692044849e-01,7.915596447869842622e-01,2
8.083778336419807919e-01,8.828593097010121182e-01,8.472437678293578411e-01,5.533706797343562744e-01,7.631256957235159621e-01,2.740416829015956401e-01,4.743947816941892492e-01,9.581182287027777411e-01,5.417504499170334720e-01,9.577204249537276670e-01,1
7.528800600308659385e-01,2.557932993783859632e-01,4.686280223465676964e-01,5.154417497651565538e-01,5.240342918139102579e-01,4.445090696772085459e-01,4.794927748418047475e-01,2.001080863795068054e-01,5.289162291185279807e-01,7.565513732494678623e-01,0
2.294632692401071816e-01,2.399142475888608739e-01,2.690963156403196055e-01,5.292969983842857884e-01,7.835417388721558352e-01,7.523237035578059784e-01,7.603104658073250866e-01,5.243737554231997500e-01,5.026206592316805333e-01,7.783177714997310259e-01,2
6.408586709025978490e-01,6.253278344882483575e-01,5.470545532485527884e-01,5.950088946595027961e-01,6.916025879518366004e-01,3.122111182919768968e-01,2.456653566952840817e-01,7.273839121781972006e-01,9.010414694676558423e-01,8.002336225308405160e-01,1
7.537158797281474643e-01,2.692019770849739535e-01,4.887123678998921972e-01,4.869305120756690086e-01,5.337057891496592710e-01,4.759955694541105897e-01,4.935655515884940225e-01,2.247426994551077195e-01,5.175883377901481230e-01,7.375380070857823211e-01,0
